Issue Link,Bug Type,Root Cause,Effect,Rational
https://github.com/tenstorrent/tt-xla/issues/4185,SB.Control and Sequence Bug,Absence of type checking,Incorrect Functionality,"BT: Datatype checker if is incorrect
RC: type not checked correctly
ET: clip-Large_Patch14_336 variant fails with PCC=0.9574742356215242"
https://github.com/CAREamics/careamics/issues/881,API Bug,API Misuse (APIM),Crash,"BT: issue in save_hyperparameters api
RC: incorrect api used 
ET: Throws KeyError"
https://github.com/vllm-project/vllm/issues/39341,Initialization Bug,Absence of type checking,Crash,"BT: runtime_shape and range_entry initialized without check
RC: added additional check condition for sym_shape_indices  
ET: Throws IndexError"
https://github.com/NVIDIA/cuEquivariance/issues/267,API Bug,Absence of inter API compatibility,Crash,"BT: SegmentedPolynomialFromUniform1dJit api issue
RC: code not compatible with SegmentedPolynomialNaive
ET: Throws TypeError"
https://github.com/ultralytics/yolov5/issues/13642,API Bug,API Change (APIC),Unknown,"BT: Depricated API used
RC: API updated to new version
ET: Simple UserWarning. Not specified details"
https://github.com/ultralytics/yolov5/issues/13629,Processing Bug,Structure Inefficiency (SI),Bad Performance,"BT: the activate layer have changed to ReLU
RC: Wong model structure
ET: mAP is very low after a few training epochs"
https://github.com/ultralytics/yolov5/issues/13625,API Bug,API Change (APIC),Crash,"BT:  conflicting pathlib installations
RC: API requirements changed
ET: Throws ModuleNotFoundError"
https://github.com/ultralytics/yolov5/issues/13523,API Bug,API Change (APIC),Unknown,"BT: albumentations api version issue
RC: albumentations api changed 
ET: Not specified"
https://github.com/ultralytics/yolov5/issues/13508,API Bug,API Change (APIC),Crash,"BT: Did not follow latest API instruction
RC: Used old API 
ET: aise Exception(s) from e
Exception: cannot instantiate 'PosixPath' on your system."
https://github.com/ultralytics/yolov5/issues/13508,API Bug,API Change (APIC),Crash,"BT: Did not follow latest API instruction
RC: Used old API 
ET: aise Exception(s) from e
Exception: cannot instantiate 'PosixPath' on your system."
https://github.com/ultralytics/yolov5/issues/13498,API Bug,API Change (APIC),Crash,"BT:  Pillow versions above 9.5 have removed the getsize method
RC: New API changed 
ET: Throws AttributeError"
https://github.com/ultralytics/yolov5/issues/13398,API Bug,API Change (APIC),Crash,"BT: Older API used
RC: API changed in new version
ET: backend fallback issue"
https://github.com/ultralytics/yolov5/issues/13360,API Bug,API Change (APIC),Crash,"BT: Older API used
RC: API changed in new version
ET: trtexec --onnx=yolov5m.onnx --minShapes=images:1x3x640x640 --optShapes=images:10x3x640x640 --maxShapes=images:10x3x640x640 --saveEngine=yolov5m.engine --fp16"
https://github.com/ultralytics/yolov5/issues/13335,API Bug,API Change (APIC),Crash,"BT: YOLO V8 worked
RC: Old API has issue
ET: Throws KeyError"
https://github.com/ultralytics/yolov5/issues/13302,API Bug,API Change (APIC),Crash,"BT: YOLO and Pytorch version issue
RC: API version changed
ET: Throws RuntimeError"
https://github.com/ultralytics/yolov5/issues/13293,API Bug,API Change (APIC),Crash,"BT: Python version issue
RC: Functionality changed in new version
ET: Throws OSError"
https://github.com/ultralytics/yolov5/issues/13291,SB.Logic Bugs,Absence of inter API compatibility,Crash,"BT: Wrong model selected 
RC: YOLOv8 models are not compatible with YOLOv5
ET: Fhrows FileNotFoundError"
https://github.com/sdv-dev/SDGym/issues/589,API Bug,API Change (APIC),Crash,"BT:   boot_image incorrect
RC: New API issue
ET: RealTabFormerSynthesizer crashes"
https://github.com/gc-os-ai/pyaptamer/issues/324,SB.Data flow Bug,Confusion with Computation Model (CCM),Incorrect Functionality,"BT: candidate and result data changes
RC: code not compatible with mcts.run output format
ET:  two identical sequences with different tensor objects are treated as distinct entries"
https://github.com/vllm-project/vllm-omni/issues/2580,SB.Control and Sequence Bug,Absence of type checking,Crash,"BT: serving_speech controll flow incorrect
RC: serving_speech type not check 
ET: Throws AttributeError"
https://github.com/vllm-project/vllm/issues/39261,Initialization Bug,API Misuse (APIM),Crash,"BT: current_pretokenizer and tokenizer incorrectly initialized
RC: incorrectly api used to intialize values
ET: Throws AssertionError"
https://github.com/huggingface/transformers/issues/45305,SB.Control and Sequence Bug,Absence of type checking,Incorrect Functionality,"BT: self.accelerator.distributed_type if condition added 
RC: self.accelerator.distributed_type value not checked
ET:  Gradient norms and loss curves should be identical"
https://github.com/vllm-project/vllm/issues/39244,NMSB.Logic Bugs,Absence of type checking,Incorrect Functionality,"BT: Certain values are constant
RC: Values types not checked
ET: CUDA illegal memory access"
https://github.com/ultralytics/ultralytics/issues/24151,Initialization Bug,Absence of type checking,Crash,"BT: object state is reconstructed from a checkpoint
RC:  attribute type not checked
ET: Throws AttributeError"
https://github.com/unslothai/unsloth/issues/4900,API Bug,API Change (APIC),Crash,"BT: torchcodec version issue
RC:  api version changed the code
ET: Throws fails to check dataset format error"
https://github.com/ogx-ai/ogx/issues/5464,Initialization Bug,Absence of type checking,Crash,"BT:   tool_call_dict[""function""][""arguments""] incorrectly initialized
RC: data type not checked
ET: throws JSONDecodeError"
https://github.com/vllm-project/vllm/issues/39198,SB.Control and Sequence Bug,Absence of type checking,Crash,"BT: if block incorrect
RC: type checking logic incorrect
ET: throws HFValidationError"
https://github.com/unslothai/unsloth/issues/4896,API Bug,Absence of inter API compatibility,Crash,"BT: GB10 issue. API not compatible 
RC:  API not compatible
ET: Throws list index out of range error"
https://github.com/ModelCloud/GPTQModel/issues/2678,Initialization Bug,Absence of inter API compatibility,Memory Out of Bound,"BT: results incorrectly initialized 
RC: unified strategy not implemented
ET: Quantilze Qwen3.5 27B OOM"
https://github.com/vllm-project/vllm/issues/39179,SB.Control and Sequence Bug,Absence of type checking,Incorrect Functionality,"BT: added additional if block
RC: e_score_correction_bias type not checked
ET: generates garbage output"
https://github.com/vllm-project/vllm/issues/39174,SB.Control and Sequence Bug,Absence of type checking,Crash,"BT:  added addtitional if block 
RC: inputs_embeds_scheduled.shape[0] value not checked
ET: Crash on Transcription"
https://github.com/vllm-project/vllm/issues/39163,Initialization Bug,Others,Bad Performance,"BT: new data initialized
RC: not related to dl
ET: 43 seconds slower."
https://github.com/verl-project/verl/issues/5894,SB.Control and Sequence Bug,Absence of type checking,Crash,"BT: added conditional checks for score_mean, max and min
RC: added a checker
ET: Throws RuntimeError"
https://github.com/verl-project/verl/issues/5893,SB.Control and Sequence Bug,Absence of type checking,Crash,"BT: added checker for empty response
RC: Added response checker 
ET: Throws RuntimeError"
https://github.com/tenstorrent/tt-xla/issues/4134,Initialization Bug,Incorrect Model Parameter or Structure (IPS),Crash,"BT: model_kwargs incorrectly initialized
RC:  model parameter incorrect
ET: Throws AttributeError"
https://github.com/sktime/pytorch-forecasting/issues/2251,API Bug,API Misuse (APIM),Crash,"BT: Wrong API name
RC: Incorrect API used for reset
ET: Throws AttributeError"
https://github.com/isayevlab/aimnetcentral/issues/54,SB.Control and Sequence Bug,Absence of type checking,Crash,"BT: added additional if check on data[k]
RC: data[k] type checked
ET: breaks autograd graph"
https://github.com/pyscf/gpu4pyscf/issues/728,API Bug,API Misuse (APIM),Incorrect Functionality,"BT: wrong api used for out
RC: incorrect api used
ET: produces wrong J matrix"
https://github.com/pyscf/gpu4pyscf/issues/726,Initialization Bug,Unknown,Crash,"BT: s and cgto incorrectly initialized 
RC:  not related to dl
ET: Throws CUDA_ERROR_ILLEGAL_ADDRESS"
https://github.com/vllm-project/vllm-omni/issues/2529,Initialization Bug,Incorrect Model Parameter or Structure (IPS),Incorrect Functionality,"BT: argument values incorrect
RC: not related to dl
ET: Omni object has no effect."
https://github.com/tenstorrent/tt-xla/issues/4132,Initialization Bug,Confusion with Computation Model (CCM),Crash,"BT: model_kwargs incorrectly initialized
RC:  model parameters incorrect
ET: Throws TypeError"
https://github.com/vllm-project/vllm/issues/39089,Initialization Bug,API Misuse (APIM),Incorrect Functionality,"BT: API called with incorrect args
RC:  incorrect arguments passed to _parse_gemma4_args
ET:  tool-call-parser corrupts boolean values in tool call arguments"
https://github.com/sktime/sktime/issues/9827,SB.Control and Sequence Bug,Absence of type checking,Crash,"BT: if checker added in key
RC: key data type not checked 
ET: Throws AttributeError"
https://github.com/HPE/torch-hammer/issues/19,SB.Control and Sequence Bug,Absence of type checking,Crash,"BT: if condition incorrect
RC: is_ep_comm type not checked
ET: Throws RuntimeError"
https://github.com/jundot/omlx/issues/623,NMSB.Logic Bugs,Others,Incorrect Functionality,"BT: Configuration and aggregation logics were incorrect
RC: Not a DL part 
ET: Both GEMM entries run as float32"
https://github.com/pytorch/pytorch/issues/179418,Initialization Bug,API Misuse (APIM),Crash,"BT:  make_fallback incorrectly initialized
RC: make_fallback got incorrect arguments
ET: Throws _inductor.exc.InductorError"
https://github.com/Saganaki22/ComfyUI-OmniVoice-TTS/issues/13,NMSB.Logic Bugs,Others,Crash,"BT: Functions are decorated before signature inspection
RC: Not related to DL
ET: Throws typeerror"
https://github.com/Saganaki22/ComfyUI-OmniVoice-TTS/issues/12,API Bug,API Change (APIC),Crash,"BT: got it working by upgrading transformers to 5.3
RC: API version changed 
ET: everything gets copied to the custom node folder but the nodes still show red in ComfyUI."
https://github.com/vllm-project/vllm/issues/39025,SB.Control and Sequence Bug,Absence of type checking,Crash,"BT: Certain if logics incorrect
RC:  checker if incorrect
ET: Throws torch.AcceleratorError"
https://github.com/Comfy-Org/comfy-cli/issues/412,NMSB.Logic Bugs,Others,Incorrect Functionality,"BT: Loop logic incorrect
RC:  Not related to DL
ET: Can't check torch version after installing"
https://github.com/vllm-project/vllm/issues/39017,Initialization Bug,Others,Crash,"BT: Missed initialization and if else check
RC: Not related to dl
ET: Throws _pydantic_core.ValidationError"
https://github.com/huggingface/transformers/issues/45242,SB.Control and Sequence Bug,Absence of type checking,Data Corruption,"BT: some if else statement incorrect
RC: is_kv_shared_layer checker not added
ET: producing garbage logit"
https://github.com/intel/intel-xpu-backend-for-triton/issues/6565,API Bug,API Change (APIC),Crash,"BT: Pytorch api issue
RC: API version changed 
ET: Throws triton.runtime.errors.IntelGPUError"
https://github.com/ooples/AiDotNet.Tensors/issues/98,API Bug,Absence of inter API compatibility,Incorrect Functionality,"BT: --enable_chunked_prefill is not supported yet for qwen3.5
RC: API not compatible for this task
ET: returns ""!"""
https://github.com/vllm-project/vllm/issues/38982,NMSB.Logic Bugs,Others,Crash,"BT: Import statement incorrect
RC: Not related to DL
ET: Throws ModuleNotFoundError"
https://github.com/pytorch/ignite/issues/3718,SB.Control and Sequence Bug,Absence of type checking,Crash,"BT: extra if else added 
RC: top_k  type not checked 
ET: Throws IndexError"
https://github.com/materialsproject/atomate2/issues/1451,API Bug,Others,Crash,"BT: API version incorrect
RC: Not related to DL
ET: Throws ResolutionImpossible"
https://github.com/sktime/sktime/issues/9798,NMSB.Logic Bugs,Others,Crash,"BT:  added checker _check_estimator_deps
RC: Not related to dl
ET: Throws ModuleNotFoundError"
https://github.com/vllm-project/vllm/issues/38894,SB.Control and Sequence Bug,Absence of type checking,Incorrect Functionality,"BT: If statement incorrect 
RC: enable_thinking checker added
ET:  only output content in reasoning field"
https://github.com/unslothai/unsloth/issues/4809,Initialization Bug,Others,Incorrect Functionality,"BT: Certain path and variable incorrectly initialized
RC: Not related to DL
ET: First tool call in a new Studio chat starts outside the session sandbox"
https://github.com/huggingface/transformers/issues/45198,Initialization Bug,API Misuse (APIM),Crash,"BT: Wrong API used to innitialize phonemes
RC:  Wrong API used
ET: eturn_token_type_ids=True crashes"
https://github.com/vllm-project/vllm/issues/38837,Initialization Bug,API Misuse (APIM),Crash,"BT: init missed tool
RC: API misued in init
ET: Throws 400 Gemma4ToolParser error"
https://github.com/zerfoo/zerfoo/issues/317,API Bug,Absence of inter API compatibility,Crash,"BT: API version issue
RC: API version changed
ET: Throws cudaMemcpy failed"
https://github.com/Project-MONAI/MONAI/issues/8802,SB.Control and Sequence Bug,Absence of type checking,Crash,"BT: added if checker 
RC: label_tensor checker added
ET: ImageStats crashes"
https://github.com/roboflow/rf-detr/issues/913,SB.Logic Bugs,Incorrect Model Parameter or Structure (IPS),Incorrect Functionality,"BT: Model classification logic incorrect
RC: Classification head not correctly build
ET: model predicts class_id as 1"
https://github.com/ultralytics/ultralytics/issues/24100,NMSB.Logic Bugs,Others,Incorrect Functionality,"BT: enumerate logic icorrect
RC: Not realted to DL 
ET:  Mask discarded"
https://github.com/verl-project/verl/issues/5859,SB.Control and Sequence Bug,Absence of type checking,Crash,"BT: Conditional block addded
RC: Added a type checker 
ET: Throws RuntimeError"
https://github.com/inclusionAI/AReaL/issues/1132,Initialization Bug,Others,Crash,"BT: VALID_MOE_MODELS incorrectly initialized
RC: Not related to dl
ET: Throws AttributeError"
https://github.com/sgl-project/sglang/issues/21911,Initialization Bug,API Misuse (APIM),Incorrect Functionality,"BT: torch.distributed.new_group method incorrectly initialized
RC: torch.distributed.new_group api misued 
ET: imeout is only applied to init_process_group,"
https://github.com/microsoft/VibeVoice/issues/312,Initialization Bug,Others,Crash,"BT: seq_length and query_length incorrectly initialized
RC: Not related to DL
ET: TTS crashes"
https://github.com/runpod/containers/issues/114,API Bug,API Change (APIC),Unknown,"BT: Wrong version
RC: API version changed
ET: Not specified"
https://github.com/TorchIO-project/torchio/issues/1440,SB.Control and Sequence Bug,Absence of type checking,Incorrect Functionality,"BT: if block added
RC: first_element checker added
ET:  collates scalar metadata as plain Python lists"
https://github.com/PriorLabs/TabPFN/issues/850,Initialization Bug,API Misuse (APIM),Incorrect Functionality,"BT: certain kwags and parameters incorrect 
RC: API called with wrong argument
ET: silently produces wrong predictions"
https://github.com/vllm-project/vllm/issues/38717,Initialization Bug,API Misuse (APIM),Crash,"BT: chunk_str incorrectly initialized
RC: wrong API used
ET: Throws UnicodeDecodeError"
https://github.com/vllm-project/vllm-omni/issues/2395,Initialization Bug,Others,Incorrect Functionality,"BT: Promt and certain variables incorrectly initialized 
RC: Not a DL issue 
ET: When an invalid speaker is entered, no prompt message"
https://github.com/ultralytics/ultralytics/issues/24079,SB.Control and Sequence Bug,Absence of type checking,Crash,"BT: if logic incorrect 
RC: type checker added for v
ET: resume training broken"
https://github.com/pytorch/pytorch/issues/178871,SB.Control and Sequence Bug,Absence of type checking,Incorrect Functionality,"BT: if condition incorrect
RC: mask_constant_index checked 
ET: Incorrect output for non-power-of-2-sized fusion"
https://github.com/torch-spyre/torch-spyre/issues/1289,NMSB.Logic Bugs,Others,Crash,"BT: Return logic incorrect
RC: Not a DL issue
ET: Throws InductorError"
https://github.com/huggingface/lerobot/issues/3251,NMSB.Logic Bugs,Others,Bad Performance,"BT: Delete logic added
RC: Not DL issue
ET: Takes large memory"
https://github.com/isaac-sim/IsaacLab/issues/5132,API Bug,Absence of inter API compatibility,Crash,"BT: This is currently a known limitation
RC: API not compatible with multi-gpu system
ET: Throws unrecognized arguments: --/plugins/carb.tasking.plugin/threadCount=12"
https://github.com/awslabs/awsome-distributed-training/issues/1047,API Bug,API Change (APIC),Crash,"BT: Version incorrect
RC: PyTorch API changed
ET: Throws RuntimeError"
